AGENCY,AWARDIDIDV,BUREAU,CONTRACT_NUMBER,DATASOURCE,DATE,DESCR,FROM_ZIP_CODE,LONGDESCR,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,PRICE,PSC,TO_ZIP_CODE,UNIT_OF_ISSUE,UNITS,VENDOR,EXTENDED_PRICE,PRODUCT_DESCRIPTION,QUANTITY,UNSPSC_CODE,ORDERING_PROCESS,PSC_DESCRIPTION,DUNS_NUMBER
DEPARTMENT OF AGRICULTURE,NGAKXE2197N,NATURAL RESOURCES CONSERVATION SERVICE,GS-02F-XA001,OS2,2/13/2013,"3M # 810341296 - 1 RL , MMM810341296 by UPS/FedExGd, Scotch Magic Invisible Tap","OTHER, UNDEFINED","3M # 810341296 - 1 RL , MMM810341296 by UPS/FedExGd, Scotch Magic Invisible Tap",3M,MMM810341296,2.65,7510,"OTHER, UNDEFINED",RL,6,"CAPITOL SUPPLY, INC.",15.9,OFFICE SUPPLIES,6,31201512,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE2197N,NATURAL RESOURCES CONSERVATION SERVICE,GS-02F-XA001,OS2,2/13/2013,"ADVANTUS # MBE002220 - 1 EA , J2MBE002220 by UPS/FedExGd, Advantus - U.S. Nylon","OTHER, UNDEFINED","ADVANTUS # MBE002220 - 1 EA , J2MBE002220 by UPS/FedExGd, Advantus - U.S. Nylon",ADVANTUS,MBE002220,33.01,7510,"OTHER, UNDEFINED",EA,2,"CAPITOL SUPPLY, INC.",66.02,OFFICE SUPPLIES,2,55121715,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE2197N,NATURAL RESOURCES CONSERVATION SERVICE,GS-02F-XA001,OS2,2/13/2013,"AbilityOne # 7520-01-451-2268 7520 PENCIL,MECH,CUSH,BE","OTHER, UNDEFINED","AbilityOne # 7520-01-451-2268 7520 PENCIL,MECH,CUSH,BE",NIB,7.52001E+12,16.24,7520,"OTHER, UNDEFINED",BX,1,"CAPITOL SUPPLY, INC.",16.24,OFFICE DEVICES AND ACCESSORIES,1,44121705,GSA ADVANTAGE!,OFFICE DEVICES AND ACCESSORIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE2197N,NATURAL RESOURCES CONSERVATION SERVICE,GS-02F-XA001,OS2,2/13/2013,"DURACELL # PC1500BKD - 1 PACK by UPS/FedExGd, PROCELL IND AA-CELL ALKA LINE BAT","OTHER, UNDEFINED","DURACELL # PC1500BKD - 1 PACK by UPS/FedExGd, PROCELL IND AA-CELL ALKA LINE BAT",DURACELL,DURPC1500BKD,10.82,7510,"OTHER, UNDEFINED",PK,1,"CAPITOL SUPPLY, INC.",10.82,OFFICE SUPPLIES,1,26111702,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE2197N,NATURAL RESOURCES CONSERVATION SERVICE,GS-02F-XA001,OS2,2/13/2013,"PENTEL # 50-B - 1 PK OF ( 12 EA) , PEN50B by UPS/FedExGd, Super Hi-Polymer Lead","OTHER, UNDEFINED","PENTEL # 50-B - 1 PK OF ( 12 EA) , PEN50B by UPS/FedExGd, Super Hi-Polymer Lead",PENTEL,PEN50B,1.28,7510,"OTHER, UNDEFINED",PK,3,"CAPITOL SUPPLY, INC.",3.84,OFFICE SUPPLIES,3,44121902,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE2678N,DEPARTMENT OF AGRICULTURE,GS-02F-XA001,OS2,2/13/2013,"KIT,FUSER,LASER,100V,LJ5550 (continue)","OTHER, UNDEFINED","KIT,FUSER,LASER,100V,LJ5550 (continue)",HEWLETT PACKARD,HEWQ3984A,228.61,7510,"OTHER, UNDEFINED",EA,1,"CAPITOL SUPPLY, INC.",228.61,OFFICE SUPPLIES,1,44103116,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE3918N,NATURAL RESOURCES CONSERVATION SERVICE,GS-02F-XA001,OS2,2/14/2013,"AbilityOne # 7530-01-539-9831 PAPER,COPY,8.5X11,WE","OTHER, UNDEFINED","AbilityOne # 7530-01-539-9831 PAPER,COPY,8.5X11,WE",NIB,7.53002E+12,52.81,7530,"OTHER, UNDEFINED",BX,3,"CAPITOL SUPPLY, INC.",158.43,STATIONERY AND RECORD FORMS,3,14111507,GSA ADVANTAGE!,STATIONERY AND RECORD FORMS,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE4274N,FOREST SERVICE,GS-02F-XA001,OS2,2/14/2013,"HEWLETT PACKARD # CE038A - 1 EA , HEWCE038A by UPS/FedExGd, HP 771 Ink Cartridg","OTHER, UNDEFINED","HEWLETT PACKARD # CE038A - 1 EA , HEWCE038A by UPS/FedExGd, HP 771 Ink Cartridg",HEWLETT PACKARD,HEWCE038A,263.55,7510,"OTHER, UNDEFINED",EA,1,"CAPITOL SUPPLY, INC.",263.55,OFFICE SUPPLIES,1,44103105,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE4551N,FOREST SERVICE,GS-02F-XA001,OS2,2/14/2013,AbilityOne NSN# 8540-01-590-9069 OUTLOOK NEBRASKA # 8540015909069 - 1 BX by UPS,"OTHER, UNDEFINED",AbilityOne NSN# 8540-01-590-9069 OUTLOOK NEBRASKA # 8540015909069 - 1 BX by UPS,NIB,8.54002E+12,44.98,8540,"OTHER, UNDEFINED",BX,3,"CAPITOL SUPPLY, INC.",134.94,TOILETRY PAPER PRODUCTS,3,14111703,GSA ADVANTAGE!,TOILETRY PAPER PRODUCTS,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE4588N,NATURAL RESOURCES CONSERVATION SERVICE,GS-02F-XA001,OS2,2/14/2013,"INVERA # 25RED - 1 EA , IVR25RED by UPS/FedExGd, 25RED Compatible, Remanufactur","OTHER, UNDEFINED","INVERA # 25RED - 1 EA , IVR25RED by UPS/FedExGd, 25RED Compatible, Remanufactur",INVERA,IVR25RED,36.62,7510,"OTHER, UNDEFINED",EA,3,"CAPITOL SUPPLY, INC.",109.86,OFFICE SUPPLIES,3,44103105,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE5710N,FARM SERVICE AGENCY,GS-02F-XA001,OS2,2/14/2013,"KATUN # 39399 - 1 BX OF ( 2 EA) , KAT39399 by UPS/FedExGd, Katun Solid Ink Stic","OTHER, UNDEFINED","KATUN # 39399 - 1 BX OF ( 2 EA) , KAT39399 by UPS/FedExGd, Katun Solid Ink Stic",KATUN,KAT39399,90.36,7510,"OTHER, UNDEFINED",BX,1,"CAPITOL SUPPLY, INC.",90.36,OFFICE SUPPLIES,1,44103106,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE5710N,FARM SERVICE AGENCY,GS-02F-XA001,OS2,2/14/2013,"KATUN # 39401 - 1 BX OF ( 2 EA) , KAT39401 by UPS/FedExGd, Katun Solid Ink Stic","OTHER, UNDEFINED","KATUN # 39401 - 1 BX OF ( 2 EA) , KAT39401 by UPS/FedExGd, Katun Solid Ink Stic",KATUN,KAT39401,65.04,7510,"OTHER, UNDEFINED",BX,1,"CAPITOL SUPPLY, INC.",65.04,OFFICE SUPPLIES,1,44103106,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE5932N,FOREST SERVICE,GS-02F-XA001,OS2,2/14/2013,"WAUSAU PAPERS # 22841 - 1 PK OF ( 250 SH) , WAU22841 by UPS/FedExGd, Wausau Pap","OTHER, UNDEFINED","WAUSAU PAPERS # 22841 - 1 PK OF ( 250 SH) , WAU22841 by UPS/FedExGd, Wausau Pap",WAUSAU PAPERS,WAU22841,13.06,7510,"OTHER, UNDEFINED",PK,2,"CAPITOL SUPPLY, INC.",26.12,OFFICE SUPPLIES,2,14111507,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE6295N,NATURAL RESOURCES CONSERVATION SERVICE,GS-02F-XA001,OS2,2/14/2013,"AbilityOne NSN# 7520-01-424-4849 AbilityOne # 4244849 - 1 DZ , NSN4244849 by UP","OTHER, UNDEFINED","AbilityOne NSN# 7520-01-424-4849 AbilityOne # 4244849 - 1 DZ , NSN4244849 by UP",NIB,7.52001E+12,9.76,7520,"OTHER, UNDEFINED",DZ,7,"CAPITOL SUPPLY, INC.",68.32,OFFICE DEVICES AND ACCESSORIES,7,44121708,GSA ADVANTAGE!,OFFICE DEVICES AND ACCESSORIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE6295N,NATURAL RESOURCES CONSERVATION SERVICE,GS-02F-XA001,OS2,2/14/2013,"COSCO/CONSOLIDATED STAMP # N82 - 1 EA , R1N82 , XSTN82 by UPS/FedExGd, STAMP,CU","OTHER, UNDEFINED","COSCO/CONSOLIDATED STAMP # N82 - 1 EA , R1N82 , XSTN82 by UPS/FedExGd, STAMP,CU",COSCO/CONSOLIDATED STAMP,N82,41.64,7510,"OTHER, UNDEFINED",EA,1,"CAPITOL SUPPLY, INC.",41.64,OFFICE SUPPLIES,1,44121604,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE6637N,DEPARTMENT OF AGRICULTURE,GS-02F-XA001,OS2,2/14/2013,"INVERA # DR400 - 1 EA , IVRDR400 by UPS/FedExGd, DR400 Compatible, Remanufactur","OTHER, UNDEFINED","INVERA # DR400 - 1 EA , IVRDR400 by UPS/FedExGd, DR400 Compatible, Remanufactur",INVERA,IVRDR400,43.26,7510,"OTHER, UNDEFINED",EA,1,"CAPITOL SUPPLY, INC.",43.26,OFFICE SUPPLIES,1,44103109,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE6667N,FOREST SERVICE,GS-02F-XA001,OS2,2/14/2013,"DYMO # 30252 - 1 BX OF ( 2 RL) , A530252 , DYM30252 by UPS/FedExGd, Dymo 30252","OTHER, UNDEFINED","DYMO # 30252 - 1 BX OF ( 2 RL) , A530252 , DYM30252 by UPS/FedExGd, Dymo 30252",DYMO,DYM30252,18.73,7510,"OTHER, UNDEFINED",BX,4,"CAPITOL SUPPLY, INC.",74.92,OFFICE SUPPLIES,4,55121611,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE6667N,FOREST SERVICE,GS-02F-XA001,OS2,2/14/2013,"DYMO # 30277 - 1 PK , DYM30277 by UPS/FedExGd, 2-Up File Folder Labels, 9/16 x","OTHER, UNDEFINED","DYMO # 30277 - 1 PK , DYM30277 by UPS/FedExGd, 2-Up File Folder Labels, 9/16 x",DYMO,DYM30277,9.64,7510,"OTHER, UNDEFINED",PK,4,"CAPITOL SUPPLY, INC.",38.56,OFFICE SUPPLIES,4,55121611,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE7165N,FOREST SERVICE,GS-02F-XA001,OS2,2/14/2013,"Targus TDP019US CityGear 320 Capacity CD/DVD Case - Book Fold - Nylon, Polyprop","OTHER, UNDEFINED","Targus TDP019US CityGear 320 Capacity CD/DVD Case - Book Fold - Nylon, Polyprop",TARGUS,TDP019US,36.43,7510,"OTHER, UNDEFINED",EA,1,"CAPITOL SUPPLY, INC.",36.43,OFFICE SUPPLIES,1,43202101,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE7186N,FOREST SERVICE,GS-02F-XA001,OS2,2/14/2013,"AbilityOne # 7530-01-539-9831 PAPER,COPY,8.5X11,WE","OTHER, UNDEFINED","AbilityOne # 7530-01-539-9831 PAPER,COPY,8.5X11,WE",NIB,7.53002E+12,52.81,7530,"OTHER, UNDEFINED",BX,5,"CAPITOL SUPPLY, INC.",264.05,STATIONERY AND RECORD FORMS,5,14111507,GSA ADVANTAGE!,STATIONERY AND RECORD FORMS,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE7186N,FOREST SERVICE,GS-02F-XA001,OS2,2/14/2013,"FELLOWES # 35250 - 1 EA , FEL35250 , K735250 by UPS/FedExGd, Fellowes Powershre","OTHER, UNDEFINED","FELLOWES # 35250 - 1 EA , FEL35250 , K735250 by UPS/FedExGd, Fellowes Powershre",FELLOWES,35250,4.82,7510,"OTHER, UNDEFINED",EA,2,"CAPITOL SUPPLY, INC.",9.64,OFFICE SUPPLIES,2,15121520,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE7186N,FOREST SERVICE,GS-02F-XA001,OS2,2/14/2013,"PENTEL # ZE-22B - 1 EA , PENZE22B by UPS/FedExGd, Pentel Clic Erasers with Rubb","OTHER, UNDEFINED","PENTEL # ZE-22B - 1 EA , PENZE22B by UPS/FedExGd, Pentel Clic Erasers with Rubb",PENTEL,PENZE22B,1.28,7510,"OTHER, UNDEFINED",EA,12,"CAPITOL SUPPLY, INC.",15.36,OFFICE SUPPLIES,12,44121804,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE7186N,FOREST SERVICE,GS-02F-XA001,OS2,2/14/2013,"XEROX # 106R01509 - 1 EA , XER106R01509 by UPS/FedExGd, Xerox Toner Cartridge -","OTHER, UNDEFINED","XEROX # 106R01509 - 1 EA , XER106R01509 by UPS/FedExGd, Xerox Toner Cartridge -",XEROX,XER106R01509,268.79,7510,"OTHER, UNDEFINED",EA,1,"CAPITOL SUPPLY, INC.",268.79,OFFICE SUPPLIES,1,44103103,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE7285N,DEPARTMENT OF AGRICULTURE,GS-02F-XA001,OS2,2/15/2013,AbilityOne NSN# 7530-01-412-5168 LOUISIANA ASSOC FOR THE BLIND # 7530-01-412-51,"OTHER, UNDEFINED",AbilityOne NSN# 7530-01-412-5168 LOUISIANA ASSOC FOR THE BLIND # 7530-01-412-51,NIB,7.53001E+12,56.66,7530,"OTHER, UNDEFINED",BX,5,"CAPITOL SUPPLY, INC.",283.3,STATIONERY AND RECORD FORMS,5,0,GSA ADVANTAGE!,STATIONERY AND RECORD FORMS,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE7623N,FARM SERVICE AGENCY - COUNTY,GS-02F-XA001,OS2,2/15/2013,"WEST POINT PRODUCTS # C411967927RF - 1 KT , DPIC411967927RF by UPS/FedExGd, KIT","OTHER, UNDEFINED","WEST POINT PRODUCTS # C411967927RF - 1 KT , DPIC411967927RF by UPS/FedExGd, KIT",WEST POINT PRODUCTS,C411967927RF,139.54,7510,"OTHER, UNDEFINED",KT,2,"CAPITOL SUPPLY, INC.",279.08,OFFICE SUPPLIES,2,0,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE9119N,FOREST SERVICE,GS-02F-XA001,OS2,2/15/2013,"AbilityOne # 7520-01-445-7223 7520014457223 PENRETR,MBE","OTHER, UNDEFINED","AbilityOne # 7520-01-445-7223 7520014457223 PENRETR,MBE",NIB,7.52001E+12,11.85,7520,"OTHER, UNDEFINED",DZ,4,"CAPITOL SUPPLY, INC.",47.4,OFFICE DEVICES AND ACCESSORIES,4,44121704,GSA ADVANTAGE!,OFFICE DEVICES AND ACCESSORIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE9119N,FOREST SERVICE,GS-02F-XA001,OS2,2/15/2013,"AbilityOne # 7520-01-445-7225 7520014457225 PENRETR,MBK","OTHER, UNDEFINED","AbilityOne # 7520-01-445-7225 7520014457225 PENRETR,MBK",NIB,7.52001E+12,12.57,7520,"OTHER, UNDEFINED",DZ,4,"CAPITOL SUPPLY, INC.",50.28,OFFICE DEVICES AND ACCESSORIES,4,44121704,GSA ADVANTAGE!,OFFICE DEVICES AND ACCESSORIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE9119N,FOREST SERVICE,GS-02F-XA001,OS2,2/15/2013,"AbilityOne NSN# 7530-01-060-7511 ABVI GOODWILL # 108964 - 1 DZ by UPS/FedExGd,","OTHER, UNDEFINED","AbilityOne NSN# 7530-01-060-7511 ABVI GOODWILL # 108964 - 1 DZ by UPS/FedExGd,",NIB,7.53001E+12,9.38,7530,"OTHER, UNDEFINED",DZ,2,"CAPITOL SUPPLY, INC.",18.76,STATIONERY AND RECORD FORMS,2,44121500,GSA ADVANTAGE!,STATIONERY AND RECORD FORMS,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE9119N,FOREST SERVICE,GS-02F-XA001,OS2,2/15/2013,"SJ PAPER # S71011 - 1 BX OF ( 10 EA) , SJPS71011 by UPS/FedExGd, Economy File P","OTHER, UNDEFINED","SJ PAPER # S71011 - 1 BX OF ( 10 EA) , SJPS71011 by UPS/FedExGd, Economy File P",SJ PAPER,SJPS71011,21.05,7510,"OTHER, UNDEFINED",BX,2,"CAPITOL SUPPLY, INC.",42.1,OFFICE SUPPLIES,2,44122027,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE9645N,FARM SERVICE AGENCY,GS-02F-XA001,OS2,2/15/2013,"KATUN # 39395 - 1 BX OF ( 2 EA) , KAT39395 by UPS/FedExGd, Katun Solid Ink Stic","OTHER, UNDEFINED","KATUN # 39395 - 1 BX OF ( 2 EA) , KAT39395 by UPS/FedExGd, Katun Solid Ink Stic",KATUN,KAT39395,90.36,7510,"OTHER, UNDEFINED",BX,1,"CAPITOL SUPPLY, INC.",90.36,OFFICE SUPPLIES,1,44103106,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE9645N,FARM SERVICE AGENCY,GS-02F-XA001,OS2,2/15/2013,"KATUN # 39397 - 1 BX OF ( 2 EA) , KAT39397 by UPS/FedExGd, Katun Solid Ink Stic","OTHER, UNDEFINED","KATUN # 39397 - 1 BX OF ( 2 EA) , KAT39397 by UPS/FedExGd, Katun Solid Ink Stic",KATUN,KAT39397,90.36,7510,"OTHER, UNDEFINED",BX,1,"CAPITOL SUPPLY, INC.",90.36,OFFICE SUPPLIES,1,44103106,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE9645N,FARM SERVICE AGENCY,GS-02F-XA001,OS2,2/15/2013,"KATUN # 39399 - 1 BX OF ( 2 EA) , KAT39399 by UPS/FedExGd, Katun Solid Ink Stic","OTHER, UNDEFINED","KATUN # 39399 - 1 BX OF ( 2 EA) , KAT39399 by UPS/FedExGd, Katun Solid Ink Stic",KATUN,KAT39399,90.36,7510,"OTHER, UNDEFINED",BX,1,"CAPITOL SUPPLY, INC.",90.36,OFFICE SUPPLIES,1,44103106,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE9645N,FARM SERVICE AGENCY,GS-02F-XA001,OS2,2/15/2013,"KATUN # 39401 - 1 BX OF ( 2 EA) , KAT39401 by UPS/FedExGd, Katun Solid Ink Stic","OTHER, UNDEFINED","KATUN # 39401 - 1 BX OF ( 2 EA) , KAT39401 by UPS/FedExGd, Katun Solid Ink Stic",KATUN,KAT39401,65.04,7510,"OTHER, UNDEFINED",BX,1,"CAPITOL SUPPLY, INC.",65.04,OFFICE SUPPLIES,1,44103106,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE9649N,FOREST SERVICE,GS-02F-XA001,OS2,2/15/2013,"AbilityOne NSN# 7520-00-285-1772 NISH # 7520002851772 - 1 EA by UPS/FedExGd, Tw","OTHER, UNDEFINED","AbilityOne NSN# 7520-00-285-1772 NISH # 7520002851772 - 1 EA by UPS/FedExGd, Tw",NIB,7.52E+12,26.29,7520,"OTHER, UNDEFINED",EA,1,"CAPITOL SUPPLY, INC.",26.29,OFFICE DEVICES AND ACCESSORIES,1,44121605,GSA ADVANTAGE!,OFFICE DEVICES AND ACCESSORIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXE9649N,FOREST SERVICE,GS-02F-XA001,OS2,2/15/2013,"HEWLETT PACKARD # Q6575A - 1 RL , HEWQ6575A by UPS/FedExGd, Designjet Large For","OTHER, UNDEFINED","HEWLETT PACKARD # Q6575A - 1 RL , HEWQ6575A by UPS/FedExGd, Designjet Large For",HEWLETT PACKARD,HEWQ6575A,94.77,7510,"OTHER, UNDEFINED",RL,1,"CAPITOL SUPPLY, INC.",94.77,OFFICE SUPPLIES,1,14121812,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXF0346N,DEPARTMENT OF AGRICULTURE,GS-02F-XA001,OS2,2/19/2013,"LIQUID PAPER # 89467 - 1 DZ OF ( 12 EA) , PAP89467 by UPS/FedExGd, Paper Mate P","OTHER, UNDEFINED","LIQUID PAPER # 89467 - 1 DZ OF ( 12 EA) , PAP89467 by UPS/FedExGd, Paper Mate P",LIQUID PAPER,PAP89467,9.42,7510,"OTHER, UNDEFINED",DZ,3,"CAPITOL SUPPLY, INC.",28.26,OFFICE SUPPLIES,3,44121704,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXF0764N,DEPARTMENT OF AGRICULTURE,GS-02F-XA001,OS2,2/19/2013,"HEWLETT PACKARD # C1860A - 1 EA by UPS/FedExGd, HP Bond Paper - A1 - 24 in x 15","OTHER, UNDEFINED","HEWLETT PACKARD # C1860A - 1 EA by UPS/FedExGd, HP Bond Paper - A1 - 24 in x 15",HEWLETT PACKARD,HEWC1860A,16.96,7510,"OTHER, UNDEFINED",EA,1,"CAPITOL SUPPLY, INC.",16.96,OFFICE SUPPLIES,1,14111800,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXF0764N,DEPARTMENT OF AGRICULTURE,GS-02F-XA001,OS2,2/19/2013,"HEWLETT PACKARD # CG459A - 1 EA by UPS/FedExGd, HP Premium Photo Paper - 610mm","OTHER, UNDEFINED","HEWLETT PACKARD # CG459A - 1 EA by UPS/FedExGd, HP Premium Photo Paper - 610mm",HEWLETT PACKARD,HEWCG459A,55.32,7510,"OTHER, UNDEFINED",EA,1,"CAPITOL SUPPLY, INC.",55.32,OFFICE SUPPLIES,1,14121812,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXF0764N,DEPARTMENT OF AGRICULTURE,GS-02F-XA001,OS2,2/19/2013,"HEWLETT PACKARD # CG460A - 1 EA by UPS/FedExGd, HP Premium Photo Paper - 914mm","OTHER, UNDEFINED","HEWLETT PACKARD # CG460A - 1 EA by UPS/FedExGd, HP Premium Photo Paper - 914mm",HEWLETT PACKARD,HEWCG460A,80.02,7510,"OTHER, UNDEFINED",EA,1,"CAPITOL SUPPLY, INC.",80.02,OFFICE SUPPLIES,1,14121812,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXF0764N,DEPARTMENT OF AGRICULTURE,GS-02F-XA001,OS2,2/19/2013,"HP # C1861A - 1 RL , P8C1861A by UPS/FedExGd, HP - Large-Format Designjet Paper","OTHER, UNDEFINED","HP # C1861A - 1 RL , P8C1861A by UPS/FedExGd, HP - Large-Format Designjet Paper",HP,HEWC1861A,21.65,7510,"OTHER, UNDEFINED",RL,1,"CAPITOL SUPPLY, INC.",21.65,OFFICE SUPPLIES,1,14111506,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXF1129N,FARM SERVICE AGENCY - COUNTY,GS-02F-XA001,OS2,2/19/2013,"BOISE # 054901JR - 1 CT , P1054901JR by UPS/FedExGd, Boise - Aspen 30 Recycled","OTHER, UNDEFINED","BOISE # 054901JR - 1 CT , P1054901JR by UPS/FedExGd, Boise - Aspen 30 Recycled",BOISE,054901JR,22.81,7510,"OTHER, UNDEFINED",CT,5,"CAPITOL SUPPLY, INC.",114.05,OFFICE SUPPLIES,5,14111507,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXF2088N,AGRICULTURAL RESEARCH SERVICE,GS-02F-XA001,OS2,2/19/2013,"AbilityOne NSN# 7930-01-490-7301 AbilityOne # 4907301 - 1 PK , NSN4907301 by UP","OTHER, UNDEFINED","AbilityOne NSN# 7930-01-490-7301 AbilityOne # 4907301 - 1 PK , NSN4907301 by UP",NIB,7.93001E+12,89.45,7930,"OTHER, UNDEFINED",PK,1,"CAPITOL SUPPLY, INC.",89.45,CLEANING/POLISHING COMPOUNDS & PREP,1,47131810,GSA ADVANTAGE!,CLEANING/POLISHING COMPOUNDS & PREP,131781643
DEPARTMENT OF AGRICULTURE,NGAKXF2848N,DEPARTMENT OF AGRICULTURE,GS-02F-XA001,OS2,2/19/2013,"WILSON JONES # 55205 - 1 ST , WLJ55205 by UPS/FedExGd, Wilson Jones Oversized I","OTHER, UNDEFINED","WILSON JONES # 55205 - 1 ST , WLJ55205 by UPS/FedExGd, Wilson Jones Oversized I",WILSON JONES,WLJ55205,1.45,7510,"OTHER, UNDEFINED",ST,20,"CAPITOL SUPPLY, INC.",29,OFFICE SUPPLIES,20,44122008,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXF3493N,NATURAL RESOURCES CONSERVATION SERVICE,GS-02F-XA001,OS2,2/19/2013,"3M # 652 - 1 RL , MMM652 by UPS/FedExGd, Post-it Labeling and Cover-Up Tape - 0","OTHER, UNDEFINED","3M # 652 - 1 RL , MMM652 by UPS/FedExGd, Post-it Labeling and Cover-Up Tape - 0",3M,MMM652,7.95,7510,"OTHER, UNDEFINED",RL,2,"CAPITOL SUPPLY, INC.",15.9,OFFICE SUPPLIES,2,44121801,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXF3493N,NATURAL RESOURCES CONSERVATION SERVICE,GS-02F-XA001,OS2,2/19/2013,AbilityOne NSN# 7510-01-504-8940 INDUSTRIES F/T BLIND # 7510-01-504-8940 - 1 PG,"OTHER, UNDEFINED",AbilityOne NSN# 7510-01-504-8940 INDUSTRIES F/T BLIND # 7510-01-504-8940 - 1 PG,NIB,7.51002E+12,7.78,7510,"OTHER, UNDEFINED",PK,2,"CAPITOL SUPPLY, INC.",15.56,OFFICE SUPPLIES,2,44121801,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,NGAKXF3493N,NATURAL RESOURCES CONSERVATION SERVICE,GS-02F-XA001,OS2,2/19/2013,HP No. 940 Black Ink Cartridge - Inkjet - 1000 Page - Black,"OTHER, UNDEFINED",HP No. 940 Black Ink Cartridge - Inkjet - 1000 Page - Black,HEWLETT PACKARD,HEWC4902AN140,26.25,7510,"OTHER, UNDEFINED",EA,1,"CAPITOL SUPPLY, INC.",26.25,OFFICE SUPPLIES,1,44103105,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
